org,total_repos,lenguajes
GitHubKing23,9,JavaScript
HGhurbani,9,"Dart, JavaScript, Python"
JoseModi97,9,"CSS, HTML, JavaScript, PHP, Vue"
JustSadSock,9,JavaScript
KAMKEEL,9,Java
KJMAN678,9,"HTML, JavaScript, Python, TypeScript"
KnightNiwrem,9,"JavaScript, TypeScript"
MalloyTheDev,9,"C++, Dart, Java, JavaScript, Python"
PrototypeJam,9,Python
RDM3DC,9,"JavaScript, Python"
Rolphs,9,"C++, HTML, Python, Shell"
ShunsukeHayashi,9,"Python, TypeScript"
Sincide,9,"JavaScript, Python, Rust, Shell"
Surfer12,9,"HTML, Java, JavaScript, Mojo, Python, Shell"
Ulthran,9,"HTML, Python, R, Vue"
Urobobros,9,"C, C++"
Virtuel21,9,"JavaScript, Python, Swift, TypeScript"
Yenya030,9,"Python, Rust, Solidity, TypeScript"
adnan8474,9,"JavaScript, Python"
agentdavo,9,"C, C++, Scala"
aiforhumans,9,Python
antitree,9,"Go, Python, Rust, Shell, YARA"
araonballesteros,9,"Python, Shell"
arthrod,9,"Python, Rust, TypeScript"
bedecarroll,9,"CSS, JavaScript, Rust, TypeScript"
boguckicollection,9,"JavaScript, Python"
cascadiacollections,9,"CSS, HTML, Kotlin, Swift, TypeScript"
cdzombak,9,"Go, Python, Shell"
cropcrusaders,9,"C#, C++, HTML, Python, Rust, TypeScript"
davidanderson3,9,"HTML, JavaScript, Python, TypeScript"
dibend,9,"HTML, JavaScript, Python, Shell"
drivly,9,TypeScript
eddiedunn,9,"Python, Rust, Shell"
eightman999,9,"C++, HTML, Java, Kotlin, Makefile, Python, Swift"
ekroon,9,"Ruby, Rust, Shell, TypeScript"
elliptic1,9,"Java, Kotlin, Python, Shell"
franklinbaldo,9,"HTML, JavaScript, Python"
get-convex,9,"JavaScript, TypeScript"
goxkit,9,Go
hecongqing,9,"HTML, Jupyter Notebook, Python"
hump-coder,9,C++
javieralaves,9,"CSS, Solidity, Swift, TypeScript"
jonhadfield,9,"Go, Python"
kissplugins,9,PHP
kjanat,9,"JavaScript, Python, Shell, TypeScript"
kurosawa-kuro,9,"HTML, Java, JavaScript, TypeScript, Vue"
lawrencerowland,9,"HTML, JavaScript, TypeScript"
lee101,9,"CSS, Go, JavaScript, Jupyter Notebook, Python"
lwhela12,9,"JavaScript, TypeScript"
markymark5127,9,"C++, CSS, HTML, Python, Shell, Swift"
mesanjusk,9,JavaScript
mrnosilrub,9,HTML
muratturan19,9,"JavaScript, Python, TypeScript"
nagisa77,9,"Java, JavaScript, Python, Vue"
octohol,9,Python
openUC2,9,"HTML, JavaScript, Jupyter Notebook, Python"
osmond,9,"CSS, Java, JavaScript, Python, TypeScript"
reown-com,9,"C#, Kotlin, MDX, Rust, Swift, TypeScript"
rushishah123,9,Python
sitaurs,9,"JavaScript, TypeScript"
sminerport,9,"C#, CSS, Python, TypeScript"
solresol,9,"HTML, JavaScript, Jupyter Notebook, Python"
space0org,9,"C++, Python, Shell, TypeScript, Vue"
splanck,9,"C, Swift"
sudhir1041,9,"JavaScript, PHP, Python"
sz3lp,9,"HTML, JavaScript, PLpgSQL, Python, TypeScript"
tkhongsap,9,"Python, TypeScript"
uzulla,9,"C, Go, PHP, Python"
wKayaa,9,"HTML, Python"
wdkq2,9,"Jupyter Notebook, Python, TypeScript"
wipeseals,9,"HTML, Rust, TypeScript"
wjb127,9,"HTML, JavaScript, TypeScript"
xuda1979,9,"C++, Python, TeX"
zantiago00,9,"CSS, HTML, JavaScript"
Adyem,8,"Assembly, C++, COBOL, CSS"
BA-CalderonMorales,8,"Python, Rust, Shell, TypeScript"
Clovhis,8,"C#, Python"
D1m7asis,8,"JavaScript, MDX, Python, TypeScript"
DanielAvdar,8,Python
DataDog,8,"Go, HTML, Java, Python, Ruby"
Daveydrz,8,Python
Distortions81,8,"C++, Go, HTML"
DouglasReisofc,8,"HTML, JavaScript, Python"
DragAditya,8,"CSS, HTML, JavaScript, Python, TypeScript"
ErdagEge,8,"C#, HTML, JavaScript, TypeScript"
Friendly-Neighbourhood-Insomniac,8,"JavaScript, Python, TypeScript"
GatDeguin,8,"HTML, JavaScript, Jupyter Notebook, Python, TypeScript"
GrahamPaasch,8,"C#, JavaScript, Python, TypeScript"
JVCarmich0959,8,"HTML, JavaScript, Jupyter Notebook, TypeScript"
Jgeissler14,8,"HCL, JavaScript, Python, TypeScript"
Jonathan-R-Anderson,8,"C, D"
KAVYANSHTYAGI,8,"C++, Python"
Komzpa,8,"C++, Kotlin, PLpgSQL, Python"
MRCahu,8,"HTML, JavaScript, Jupyter Notebook, Python"
MeganHarrison,8,"Python, TypeScript"
Mirxa27,8,"JavaScript, PHP, Swift, TypeScript"
Nemog17,8,"Dart, HTML, JavaScript"
NguyenTrungNghia1996,8,"Go, HTML, JavaScript, Vue"
Patricdb,8,PHP
PawelWielga,8,"C#, HTML, JavaScript, TypeScript"
Peskobar,8,"CSS, Python, TypeScript"
PolicyEngine,8,"Jupyter Notebook, Python, Svelte"
RW2023,8,TypeScript
Slipstreamm,8,"Python, TypeScript"
TakashiSasaki,8,Python
UOR-Foundation,8,"JavaScript, Python, TypeScript"
YashubuStudio,8,"C#, Go, JavaScript, TypeScript"
Zeus-Eternal,8,"HTML, PHP, Python"
account333-web,8,"JavaScript, Rust"
aessam,8,"Swift, TypeScript"
aldrin-labs,8,"Go, Rust, TypeScript, Zig"
alexwoolford,8,"Jupyter Notebook, Python, Rust"
amaliaPonce,8,"Astro, JavaScript, PHP, TypeScript"
amannm,8,"Gherkin, Go, Java, JavaScript"
andrewjamesford,8,"JavaScript, TypeScript"
arcelino-cavalcante,8,"HTML, JavaScript, Python"
ariannamethod,8,"C, Python, TypeScript"
basvanopheusden,8,"JavaScript, Python"
benzdriver,8,"Python, Shell, TypeScript"
bobwares,8,"HCL, JavaScript, Makefile, Python, TypeScript"
bullardji,8,"HTML, Python"
cagojeiger,8,"Python, Smarty"
christopherhouse,8,"C#, CSS, HCL, PowerShell, Python"
cicero78M,8,"JavaScript, Kotlin, Python, TypeScript"
cjerzak,8,"HTML, R"
danjohn007,8,PHP
danvoulez,8,"JavaScript, Python, TypeScript"
dhar174,8,"HTML, Jupyter Notebook, Python, TypeScript"
editorTK,8,"HTML, JavaScript"
elementary-particles-Man,8,"C#, Go, HTML, Makefile, Rust"
epicweb-dev,8,TypeScript
esnya,8,"C#, TypeScript"
estruyf,8,"JavaScript, MDX, TypeScript"
fmonfasani,8,"JavaScript, Python, TypeScript"
hafizd-kurniawan,8,"Dart, Go"
halilozel1903,8,"Java, Kotlin"
hendrism,8,"JavaScript, TypeScript"
issou2025,8,"HTML, Python"
jairnhzedinger,8,"C, HTML, JavaScript, Python, Rust"
jandresboyaca,8,"FreeMarker, Ruby"
joaaomaia,8,"Jupyter Notebook, Python"
judelFintch,8,"Blade, CSS, HTML, PHP, SCSS"
kashbur,8,HTML
klappy,8,"HTML, JavaScript, TypeScript"
knocklabs,8,"Elixir, Go, MDX, Python, Ruby, TypeScript"
knoksen,8,"HTML, Java, JavaScript, Jupyter Notebook, Python, TypeScript"
kotacomid,8,"HTML, Python"
kozo2,8,"Python, R"
lucasrcezimbra,8,Python
luizlohnoficial,8,Python
manupor,8,"CSS, HTML, JavaScript, TypeScript"
mapo80,8,"C#, Jupyter Notebook, Python, TypeScript"
meefs,8,"CSS, JavaScript, Python"
metacraft-labs,8,"Go, Nim, Nix, Python, Ruby, Rust, TypeScript"
mieweb,8,"JavaScript, Python, Shell, TypeScript"
mirosenski,8,TypeScript
mmcdermott,8,Python
multiplex55,8,"AutoHotkey, Rust"
mxn2020,8,TypeScript
neondatabase,8,"C, Go, JavaScript, Rust, Smarty, TypeScript"
ohhmm,8,"C++, CMake, TypeScript"
oscarleonapp,8,"CSS, HTML"
oversizedev,8,Swift
quantum-box,8,"Rust, TypeScript"
rblake2320,8,"JavaScript, Python, TypeScript"
rep0mancer,8,"JavaScript, PowerShell, Swift, TypeScript"
rileyseaburg,8,"Java, JavaScript, Rust, Shell"
rokyed,8,JavaScript
shepherdvovkes,8,"HTML, JavaScript, Makefile, Python, Rust"
